Date,heart
2018-09-19 09:11:43,70
2018-09-19 09:12:20,70
2018-09-19 09:12:30,73
2018-09-19 09:12:35,103
2018-09-19 09:12:50,111
2018-09-19 09:12:55,105
2018-09-19 09:13:00,91
2018-09-19 09:13:05,90
2018-09-19 09:13:10,87
2018-09-19 09:13:15,85
2018-09-19 09:13:20,84
2018-09-19 09:13:25,80
2018-09-19 09:13:40,80
2018-09-19 09:13:55,80
2018-09-19 09:14:05,77
2018-09-19 09:14:20,76
2018-09-19 09:14:25,77
2018-09-19 09:14:35,76
2018-09-19 09:14:40,75
2018-09-19 09:14:45,75
2018-09-19 09:14:50,75
2018-09-19 09:15:05,75
2018-09-19 09:15:06,75
2018-09-19 09:15:21,75
2018-09-19 09:15:36,75
2018-09-19 09:15:46,74
2018-09-19 09:15:51,73
2018-09-19 09:15:56,71
2018-09-19 09:16:06,72
2018-09-19 09:16:11,71
2018-09-19 09:16:21,70
2018-09-19 09:16:26,69
2018-09-19 09:16:31,70
2018-09-19 09:16:46,71
2018-09-19 09:16:51,70
2018-09-19 09:17:06,71
2018-09-19 09:17:11,70
2018-09-19 09:17:26,70
2018-09-19 09:17:36,64
2018-09-19 09:17:46,65
2018-09-19 09:17:51,66
2018-09-19 09:17:56,68
2018-09-19 09:18:06,66
2018-09-19 09:18:11,64
2018-09-19 09:18:21,65
2018-09-19 09:18:31,65
2018-09-19 09:18:36,67
2018-09-19 09:18:51,68
2018-09-19 09:19:06,68
2018-09-19 09:19:09,68
2018-09-19 09:19:19,67
2018-09-19 09:19:24,72
2018-09-19 09:19:29,73
2018-09-19 09:19:44,73
2018-09-19 09:19:49,72
2018-09-19 09:19:54,70
2018-09-19 09:19:59,71
2018-09-19 09:20:04,72
2018-09-19 09:20:09,71
2018-09-19 09:20:14,70
2018-09-19 09:20:19,73
2018-09-19 09:20:24,74
2018-09-19 09:20:29,70
2018-09-19 09:20:34,70
2018-09-19 09:20:49,69
2018-09-19 09:21:04,69
2018-09-19 09:21:09,67
2018-09-19 09:21:14,70
2018-09-19 09:21:19,72
2018-09-19 09:21:29,72
2018-09-19 09:21:34,71
2018-09-19 09:21:44,72
2018-09-19 09:21:49,71
2018-09-19 09:22:04,71
2018-09-19 09:22:19,71
2018-09-19 09:22:24,70
2018-09-19 09:22:31,65
2018-09-19 09:22:41,66
2018-09-19 09:22:56,76
2018-09-19 09:23:01,76
2018-09-19 09:23:16,76
2018-09-19 09:23:21,75
2018-09-19 09:23:26,74
2018-09-19 09:23:31,73
2018-09-19 09:23:36,74
2018-09-19 09:23:41,72
2018-09-19 09:23:46,69
2018-09-19 09:23:51,70
2018-09-19 09:24:01,69
2018-09-19 09:24:11,70
2018-09-19 09:24:16,72
2018-09-19 09:24:31,72
2018-09-19 09:24:36,71
2018-09-19 09:24:41,70
2018-09-19 09:24:46,70
2018-09-19 09:24:51,77
2018-09-19 09:25:01,76
2018-09-19 09:25:16,75
2018-09-19 09:25:21,73
2018-09-19 09:25:26,72
2018-09-19 09:25:31,71
2018-09-19 09:25:36,73
2018-09-19 09:25:42,74
2018-09-19 09:25:57,74
2018-09-19 09:26:12,78
2018-09-19 09:26:17,74
2018-09-19 09:26:22,73
2018-09-19 09:26:37,73
2018-09-19 09:26:42,72
2018-09-19 09:26:47,74
2018-09-19 09:26:52,75
2018-09-19 09:26:57,76
2018-09-19 09:27:02,77
2018-09-19 09:27:07,74
2018-09-19 09:27:17,72
2018-09-19 09:27:22,72
2018-09-19 09:27:32,71
2018-09-19 09:27:37,72
2018-09-19 09:27:42,71
2018-09-19 09:27:47,70
2018-09-19 09:27:57,76
2018-09-19 09:28:07,75
2018-09-19 09:28:17,75
2018-09-19 09:28:27,73
2018-09-19 09:28:32,74
2018-09-19 09:28:37,73
2018-09-19 09:28:42,74
2018-09-19 09:28:47,73
2018-09-19 09:29:02,71
2018-09-19 09:29:04,71
2018-09-19 09:29:09,76
2018-09-19 09:29:14,80
2018-09-19 09:29:19,75
2018-09-19 09:29:24,74
2018-09-19 09:29:29,73
2018-09-19 09:29:44,73
2018-09-19 09:29:54,72
2018-09-19 09:29:59,71
2018-09-19 09:30:09,70
2018-09-19 09:30:24,70
2018-09-19 09:30:29,71
2018-09-19 09:30:34,71
2018-09-19 09:30:49,71
2018-09-19 09:30:54,73
2018-09-19 09:30:59,73
2018-09-19 09:31:14,72
2018-09-19 09:31:24,70
2018-09-19 09:31:29,69
2018-09-19 09:31:34,70
2018-09-19 09:31:39,68
2018-09-19 09:31:44,69
2018-09-19 09:31:49,70
2018-09-19 09:31:54,72
2018-09-19 09:32:04,73
2018-09-19 09:32:09,74
2018-09-19 09:32:14,76
2018-09-19 09:32:21,75
2018-09-19 09:32:31,74
2018-09-19 09:32:46,74
2018-09-19 09:32:56,73
2018-09-19 09:33:01,70
2018-09-19 09:33:11,71
2018-09-19 09:33:26,70
2018-09-19 09:33:36,68
2018-09-19 09:33:41,65
2018-09-19 09:33:46,64
2018-09-19 09:33:51,65
2018-09-19 09:33:56,76
2018-09-19 09:34:01,76
2018-09-19 09:34:16,76
2018-09-19 09:34:31,75
2018-09-19 09:34:41,75
2018-09-19 09:34:46,75
2018-09-19 09:34:51,71
2018-09-19 09:34:56,73
2018-09-19 09:35:01,74
2018-09-19 09:35:06,75
2018-09-19 09:35:11,77
2018-09-19 09:35:16,74
2018-09-19 09:35:21,74
2018-09-19 09:35:36,74
2018-09-19 09:35:41,73
2018-09-19 09:35:48,72
2018-09-19 09:35:53,71
2018-09-19 09:35:58,73
2018-09-19 09:36:03,74
2018-09-19 09:36:08,73
2018-09-19 09:36:13,72
2018-09-19 09:36:18,73
2018-09-19 09:36:23,72
2018-09-19 09:36:28,76
2018-09-19 09:36:33,76
2018-09-19 09:36:48,75
2018-09-19 09:37:03,75
2018-09-19 09:37:18,72
2018-09-19 09:37:23,73
2018-09-19 09:37:28,69
2018-09-19 09:37:33,69
2018-09-19 09:37:38,67
2018-09-19 09:37:43,71
2018-09-19 09:37:48,69
2018-09-19 09:37:53,71
2018-09-19 09:37:58,73
2018-09-19 09:38:03,72
2018-09-19 09:38:08,74
2018-09-19 09:38:13,72
2018-09-19 09:38:18,72
2018-09-19 09:38:23,71
2018-09-19 09:38:28,72
2018-09-19 09:38:34,72
2018-09-19 09:38:39,73
2018-09-19 09:38:44,80
2018-09-19 09:38:49,79
2018-09-19 09:38:54,82
2018-09-19 09:38:59,74
2018-09-19 09:39:09,71
2018-09-19 09:39:19,70
2018-09-19 09:39:24,71
2018-09-19 09:39:29,70
2018-09-19 09:39:34,71
2018-09-19 09:39:39,73
