Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"02-10-2018 11:20 pm,""03-10-2018 7:05 am"",""435"",""30"",""0"",""465"",""N/A"",""N/A"",""N/A"""
"01-10-2018 10:58 pm,""02-10-2018 7:04 am"",""435"",""51"",""0"",""486"",""N/A"",""N/A"",""N/A"""
"30-09-2018 10:31 pm,""01-10-2018 6:59 am"",""465"",""42"",""0"",""508"",""N/A"",""N/A"",""N/A"""
"30-09-2018 12:59 am,""30-09-2018 9:11 am"",""436"",""56"",""0"",""492"",""N/A"",""N/A"",""N/A"""
"28-09-2018 11:25 pm,""29-09-2018 9:53 am"",""562"",""65"",""0"",""627"",""N/A"",""N/A"",""N/A"""
"27-09-2018 11:33 pm,""28-09-2018 7:02 am"",""430"",""18"",""1"",""448"",""N/A"",""N/A"",""N/A"""
"26-09-2018 11:23 pm,""27-09-2018 7:06 am"",""436"",""25"",""0"",""463"",""N/A"",""N/A"",""N/A"""
"25-09-2018 11:14 pm,""26-09-2018 4:52 am"",""330"",""8"",""0"",""338"",""N/A"",""N/A"",""N/A"""
"24-09-2018 11:10 pm,""25-09-2018 6:59 am"",""446"",""20"",""1"",""468"",""N/A"",""N/A"",""N/A"""
"23-09-2018 11:27 pm,""24-09-2018 7:04 am"",""416"",""39"",""0"",""457"",""N/A"",""N/A"",""N/A"""
"23-09-2018 12:40 am,""23-09-2018 9:23 am"",""500"",""21"",""0"",""522"",""N/A"",""N/A"",""N/A"""
"22-09-2018 12:14 am,""22-09-2018 7:52 am"",""429"",""29"",""1"",""458"",""N/A"",""N/A"",""N/A"""
"20-09-2018 11:37 pm,""21-09-2018 7:08 am"",""406"",""30"",""0"",""451"",""N/A"",""N/A"",""N/A"""
"19-09-2018 11:18 pm,""20-09-2018 7:40 am"",""463"",""39"",""0"",""502"",""N/A"",""N/A"",""N/A"""
